HS4 ID,HS4,HS2 ID,HS2,Section ID,Section
10101,Horses,101,Live animals,1,Animal Products
10102,Bovine,101,Live animals,1,Animal Products
10103,Pigs,101,Live animals,1,Animal Products
10104,Sheep and Goats,101,Live animals,1,Animal Products
10105,Poultry,101,Live animals,1,Animal Products
10106,Other Animals,101,Live animals,1,Animal Products
10201,Bovine Meat,102,Meat & edible offal,1,Animal Products
10202,Frozen Bovine Meat,102,Meat & edible offal,1,Animal Products
10203,Pig Meat,102,Meat & edible offal,1,Animal Products
10204,Sheep and Goat Meat,102,Meat & edible offal,1,Animal Products
10205,Horse Meat,102,Meat & edible offal,1,Animal Products
10206,Edible Offal,102,Meat & edible offal,1,Animal Products
10207,Poultry Meat,102,Meat & edible offal,1,Animal Products
10208,Other Meat,102,Meat & edible offal,1,Animal Products
10209,Animal Fat,102,Meat & edible offal,1,Animal Products
10210,Preserved Meat,102,Meat & edible offal,1,Animal Products
10301,Live Fish,103,"Fish, crustaceans, & molluscs",1,Animal Products
10302,Non-fillet Fresh Fish,103,"Fish, crustaceans, & molluscs",1,Animal Products
10303,Non-fillet Frozen Fish,103,"Fish, crustaceans, & molluscs",1,Animal Products
10304,Fish Fillets,103,"Fish, crustaceans, & molluscs",1,Animal Products
10305,"Fish: dried, salted, smoked or in brine",103,"Fish, crustaceans, & molluscs",1,Animal Products
10306,Crustaceans,103,"Fish, crustaceans, & molluscs",1,Animal Products
10307,Molluscs,103,"Fish, crustaceans, & molluscs",1,Animal Products
10401,Milk,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10402,Concentrated Milk,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10403,Fermented Milk Products,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10404,Whey and other milk products,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10405,Butter,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10406,Cheese,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10407,Eggs,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10408,Processed Egg Products,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10409,Honey,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10410,Other Edible Animal Products,104,"Edible products of animal origin, n.e.s.",1,Animal Products
10501,Human Hair,105,"Animal originated products, n.e.s.",1,Animal Products
10502,Pig Hair,105,"Animal originated products, n.e.s.",1,Animal Products
10503,Horsehair Waste,105,"Animal originated products, n.e.s.",1,Animal Products
10504,Animal Organs,105,"Animal originated products, n.e.s.",1,Animal Products
10505,Bird Feathers and Skins,105,"Animal originated products, n.e.s.",1,Animal Products
10506,Processed Bones,105,"Animal originated products, n.e.s.",1,Animal Products
10507,Raw Bones,105,"Animal originated products, n.e.s.",1,Animal Products
10508,Coral and Shells,105,"Animal originated products, n.e.s.",1,Animal Products
10509,Natural Sponges,105,"Animal originated products, n.e.s.",1,Animal Products
10510,Pharmaceutical Animal Products,105,"Animal originated products, n.e.s.",1,Animal Products
10511,Other Inedible Animal Products,105,"Animal originated products, n.e.s.",1,Animal Products
20601,Bulbs and Roots,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",2,Vegetable Products
20602,"Other live plants, cuttings and slips;
mushroom spawn",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",2,Vegetable Products
20603,Cut Flowers,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",2,Vegetable Products
20604,Plant foliage,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",2,Vegetable Products
20701,Potatoes,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20702,Tomatoes,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20703,Onions,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20704,Cabbages,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20705,Lettuce,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20706,Root Vegetables,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20707,Cucumbers,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20708,Legumes,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20709,Other Vegetables,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20710,Frozen Vegetables,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20711,Preserved Vegetables,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20712,Dried Vegetables,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20713,Dried Legumes,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20714,Cassava,207,"Edible vegetables, roots, & tubers",2,Vegetable Products
20801,"Coconuts, Brazil Nuts, and Cashews",208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20802,Other Nuts,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20803,Bananas,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20804,Tropical Fruits,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20805,Citrus,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20806,Grapes,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20807,Melons,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20808,Apples and Pears,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20809,Pitted Fruits,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20810,Other Fruits,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20811,Frozen Fruits and Nuts,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20812,Preserved Fruits and Nuts,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20813,Dried Fruits,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20814,Citrus and Melon Peels,208,"Edible fruits, nuts & fruit peels",2,Vegetable Products
20901,Coffee,209,"Coffee, tea, mate & spices",2,Vegetable Products
20902,Tea,209,"Coffee, tea, mate & spices",2,Vegetable Products
20903,Mate,209,"Coffee, tea, mate & spices",2,Vegetable Products
20904,Pepper,209,"Coffee, tea, mate & spices",2,Vegetable Products
20905,Vanilla,209,"Coffee, tea, mate & spices",2,Vegetable Products
20906,Cinnamon,209,"Coffee, tea, mate & spices",2,Vegetable Products
20907,Cloves,209,"Coffee, tea, mate & spices",2,Vegetable Products
20908,"Nutmeg, mace and cardamons",209,"Coffee, tea, mate & spices",2,Vegetable Products
20909,Spice Seeds,209,"Coffee, tea, mate & spices",2,Vegetable Products
20910,Spices,209,"Coffee, tea, mate & spices",2,Vegetable Products
21001,Wheat,210,Cereals,2,Vegetable Products
21002,Rye,210,Cereals,2,Vegetable Products
21003,Barley,210,Cereals,2,Vegetable Products
21004,Oats,210,Cereals,2,Vegetable Products
21005,Corn,210,Cereals,2,Vegetable Products
21006,Rice,210,Cereals,2,Vegetable Products
21007,Sorghum,210,Cereals,2,Vegetable Products
21008,Buckwheat,210,Cereals,2,Vegetable Products
21101,Wheat Flours,211,Products of the milling industry,2,Vegetable Products
21102,Cereal Flours,211,Products of the milling industry,2,Vegetable Products
21103,Cereal Meal and Pellets,211,Products of the milling industry,2,Vegetable Products
21104,Processed Cereals,211,Products of the milling industry,2,Vegetable Products
21105,Potato Flours,211,Products of the milling industry,2,Vegetable Products
21106,Legume Flours,211,Products of the milling industry,2,Vegetable Products
21107,Malt,211,Products of the milling industry,2,Vegetable Products
21108,Starches,211,Products of the milling industry,2,Vegetable Products
21109,Wheat Gluten,211,Products of the milling industry,2,Vegetable Products
21201,Soybeans,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21202,Ground Nuts,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21203,Copra,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21204,Linseed,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21205,Rapeseed,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21206,Sunflower Seeds,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21207,Other Oily Seeds,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21208,Oil Seed Flower,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21209,Sowing Seeds,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21210,Hops,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21211,Perfume Plants,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21212,"Locust beans, seaweed, sugar beet, cane, for food",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21213,Cereal Straws,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21214,Forage Crops,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",2,Vegetable Products
21301,Insect Resins,213,"Natural gums, resins & other vegetable extracts",2,Vegetable Products
21302,Vegetable Saps,213,"Natural gums, resins & other vegetable extracts",2,Vegetable Products
21401,Vegetable Plaiting Materials,214,"Vegetable plaiting materials & products, n.e.s.",2,Vegetable Products
21402,Vegetable Stuffing Materials,214,"Vegetable plaiting materials & products, n.e.s.",2,Vegetable Products
21403,Vegetable material for brooms and brushes,214,"Vegetable plaiting materials & products, n.e.s.",2,Vegetable Products
21404,Other Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",2,Vegetable Products
31501,Pig and Poultry Fat,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31502,"Bovine, Sheep, and Goat Fat",315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31503,Lard stearin and oils,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31504,Fish oil,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31505,Wool Grease,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31506,Other Animal Fats,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31507,Soybean Oil,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31508,Ground Nut Oil,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31509,Pure Olive Oil,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31510,Olive Oil,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31511,Palm Oil,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31512,Seed Oils,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31513,Coconut Oil,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31514,Rapeseed Oil,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31515,Other Pure Vegetable Oils,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31516,Other Vegetable Oils,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31517,Margarine,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31518,Inedible Fats and Oils,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31519,Stearic Acid,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31520,Glycerol,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31521,Vegetable waxes and beeswax,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
31522,Fat and Oil Residues,315,"Animal or vegetable fats, oils, & waxes",3,Animal and Vegetable Bi-Products
41601,Sausages,416,"Preparations of fish, crustacenas, & molluscs",4,Foodstuffs
41602,Other Prepared Meat,416,"Preparations of fish, crustacenas, & molluscs",4,Foodstuffs
41603,Animal Extracts,416,"Preparations of fish, crustacenas, & molluscs",4,Foodstuffs
41604,Processed Fish,416,"Preparations of fish, crustacenas, & molluscs",4,Foodstuffs
41605,Processed Crustaceans,416,"Preparations of fish, crustacenas, & molluscs",4,Foodstuffs
41701,Raw Sugar,417,Sugars & confectioneries,4,Foodstuffs
41702,Other Sugars,417,Sugars & confectioneries,4,Foodstuffs
41703,Molasses,417,Sugars & confectioneries,4,Foodstuffs
41704,Confectionery Sugar,417,Sugars & confectioneries,4,Foodstuffs
41801,Cocoa Beans,418,Cocoa & cocoa preparations,4,Foodstuffs
41802,Cocoa Shells,418,Cocoa & cocoa preparations,4,Foodstuffs
41803,Cocoa Paste,418,Cocoa & cocoa preparations,4,Foodstuffs
41804,Cocoa Butter,418,Cocoa & cocoa preparations,4,Foodstuffs
41805,Cocoa Powder,418,Cocoa & cocoa preparations,4,Foodstuffs
41806,Chocolate,418,Cocoa & cocoa preparations,4,Foodstuffs
41901,Malt Extract,419,"Preparations of cereals, flour, starch or milk",4,Foodstuffs
41902,Pasta,419,"Preparations of cereals, flour, starch or milk",4,Foodstuffs
41903,Tapioca,419,"Preparations of cereals, flour, starch or milk",4,Foodstuffs
41904,Prepared Cereals,419,"Preparations of cereals, flour, starch or milk",4,Foodstuffs
41905,Baked Goods,419,"Preparations of cereals, flour, starch or milk",4,Foodstuffs
42001,Pickled Foods,420,"Preparations of vegetables, fruit, nuts or other plant parts",4,Foodstuffs
42002,Processed Tomatoes,420,"Preparations of vegetables, fruit, nuts or other plant parts",4,Foodstuffs
42003,Processed Mushrooms,420,"Preparations of vegetables, fruit, nuts or other plant parts",4,Foodstuffs
42004,Other Frozen Vegetables,420,"Preparations of vegetables, fruit, nuts or other plant parts",4,Foodstuffs
42005,Other Processed Vegetables,420,"Preparations of vegetables, fruit, nuts or other plant parts",4,Foodstuffs
42006,Sugar Preserved Foods,420,"Preparations of vegetables, fruit, nuts or other plant parts",4,Foodstuffs
42007,Jams,420,"Preparations of vegetables, fruit, nuts or other plant parts",4,Foodstuffs
42008,Other Processed Fruits and Nuts,420,"Preparations of vegetables, fruit, nuts or other plant parts",4,Foodstuffs
42009,Fruit Juice,420,"Preparations of vegetables, fruit, nuts or other plant parts",4,Foodstuffs
42101,Coffee and Tea Extracts,421,Miscellaneous edible preparations,4,Foodstuffs
42102,Yeast,421,Miscellaneous edible preparations,4,Foodstuffs
42103,Sauces and Seasonings,421,Miscellaneous edible preparations,4,Foodstuffs
42104,Soups and Broths,421,Miscellaneous edible preparations,4,Foodstuffs
42105,Ice Cream,421,Miscellaneous edible preparations,4,Foodstuffs
42106,Other Edible Preparations,421,Miscellaneous edible preparations,4,Foodstuffs
42201,Water,422,"Beverages, spirits, & vinegar",4,Foodstuffs
42202,Flavored Water,422,"Beverages, spirits, & vinegar",4,Foodstuffs
42203,Beer,422,"Beverages, spirits, & vinegar",4,Foodstuffs
42204,Wine,422,"Beverages, spirits, & vinegar",4,Foodstuffs
42205,Vermouth,422,"Beverages, spirits, & vinegar",4,Foodstuffs
42206,Other Fermented Beverages,422,"Beverages, spirits, & vinegar",4,Foodstuffs
42207,Alcohol > 80% ABV,422,"Beverages, spirits, & vinegar",4,Foodstuffs
42208,Hard Liquor,422,"Beverages, spirits, & vinegar",4,Foodstuffs
42209,Vinegar,422,"Beverages, spirits, & vinegar",4,Foodstuffs
42301,Animal Meal and Pellets,423,Food residues & wastes; animal fodder,4,Foodstuffs
42302,Bran,423,Food residues & wastes; animal fodder,4,Foodstuffs
42303,Starch Residue,423,Food residues & wastes; animal fodder,4,Foodstuffs
42304,Soybean Meal,423,Food residues & wastes; animal fodder,4,Foodstuffs
42305,Ground Nut Meal,423,Food residues & wastes; animal fodder,4,Foodstuffs
42306,Other Vegetable Residues,423,Food residues & wastes; animal fodder,4,Foodstuffs
42307,Wine Lees,423,Food residues & wastes; animal fodder,4,Foodstuffs
42308,Other Vegetable Residues and Waste,423,Food residues & wastes; animal fodder,4,Foodstuffs
42309,Animal Food,423,Food residues & wastes; animal fodder,4,Foodstuffs
42401,Raw Tobacco,424,Tobacco & substitutes,4,Foodstuffs
42402,Rolled Tobacco,424,Tobacco & substitutes,4,Foodstuffs
42403,Processed Tobacco,424,Tobacco & substitutes,4,Foodstuffs
52501,Salt,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52502,Iron Pyrites,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52503,Sulphur,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52504,Graphite,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52505,Sand,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52506,Quartz,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52507,Kaolin,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52508,Clays,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52509,Chalk,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52510,Calcium Phosphates,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52511,Barium Sulphate,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52512,Siliceous Fossil Meals,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52513,Pumice,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52514,Slate,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52515,"Marble, Travertine and Alabaster",525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52516,Granite,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52517,Gravel and Crushed Stone,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52518,Dolomite,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52519,Magnesium Carbonate,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52520,Gypsum,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52521,Limestone,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52522,Quicklime,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52523,Cement,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52524,Asbestos,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52525,Mica,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52526,Soapstone,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52527,"Natural cryolite, natural chiolite",525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52528,Borax,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
52529,Feldspar,525,"Salt, sulphur, cement, lime, stone, & plaster",5,Mineral Products
